time,theta,alpha,beta,theta_dot,alpha_dot,beta_dot,int_theta
0.0,0.0,0.0,0.0,0.0,0.0,6.278091160146181e-31,0.0
0.05,0.01151107219805701,-0.00853578605722771,0.007237393740184089,0.4604428879222804,-0.3414314422891084,0.2894957496073635,0.0002877768049514253
0.1,0.03027454400675375,-0.024039335055082687,0.02146366073882638,0.2900959844255892,-0.27871051762509075,0.2795549303383281,0.0013324172100716942
0.15000000000000002,0.03477045745364583,-0.033454618299733604,0.03369937165380864,-0.11025944654990594,-0.0979008121609459,0.20987350626096188,0.002958542246581684
0.2,0.01873541082786757,-0.033952296241521,0.04323601441946209,-0.5311424184812243,0.07799369448944987,0.17159220436517636,0.004296188953619519
0.25,-0.016374000992204128,-0.026843809302584554,0.05231433007401948,-0.8732340543216436,0.20634578306800794,0.191540421817119,0.004355224199511105
0.30000000000000004,-0.06564089178075623,-0.014666846150906477,0.06395134101950833,-1.0974415772204404,0.2807327429991151,0.2739400160024352,0.002304851880187096
0.35000000000000003,-0.12297575132846154,5.446961149206944e-05,0.08130701074614656,-1.1959528046877714,0.3081198874968267,0.4202867730630933,-0.002410564197543349
0.4,-0.18228471553929873,0.015199624755912973,0.10777970820008739,-1.1764057637457166,0.2976863182800094,0.6386211250945399,-0.010042075869237357
0.45,-0.23803031609354505,0.02903753634037271,0.14744752801706554,-1.0534182584241354,0.25583014509838004,0.9480916675845864,-0.020549951660058453
0.5,-0.28547048442312567,0.04004284418235514,0.20569393943813277,-0.8441884747590883,0.18438216858091702,1.381764789258103,-0.03363747167297522
0.55,-0.3207391806288634,0.0466704895061533,0.2899497088245603,-0.566559373470422,0.08072364437100944,1.9884659861989953,-0.04879271329927495
0.6000000000000001,-0.3408729567014489,0.04719126646251311,0.4104506684957495,-0.238791669432998,-0.05989256611661727,2.831572400648575,-0.06533301673253275
0.65,-0.343859948789931,0.03976003960743169,0.5806822398084854,0.11931198589371518,-0.23735650808663944,3.977690451860861,-0.08245133936981726
0.7000000000000001,-0.3287813338368906,0.02306323705737133,0.8166949988723232,0.48383261222789925,-0.43051559391577493,5.462819910692646,-0.09926737143548779
0.75,-0.29616488113759354,-0.001974455495052145,1.134071223338866,0.8208254957439832,-0.5709921081811641,7.23222906796906,-0.1148910268098499
0.8,-0.24886900214575314,-0.029425912371180522,1.5421189559880741,1.071009663929633,-0.5270661668639707,9.089680237999273,-0.12851687389193356
0.8500000000000001,-0.19390312455729355,-0.04653234591334019,2.0370700626858396,1.1276254396087497,-0.157191174822416,10.708364029911344,-0.13958617705950974
0.9,-0.1436900496761246,-0.03820259293936368,2.5969630332653444,0.8808975556380089,0.4903812937814763,11.687354793268842,-0.1480260064153452
0.9500000000000001,-0.11150780235639007,-0.00047454338896283363,3.181901637274778,0.40639233715137185,1.0187406882345573,11.710189367108505,-0.15440595271615806
1.0,-0.10244694932336282,0.0527798104144374,3.744670976543268,-0.043958215830282144,1.1114334639014518,10.800584203631104,-0.15975482150815187
1.05,-0.11145243805758522,0.10479928126552789,4.245666769282329,-0.3162613335386133,0.969345370142168,9.239247505931322,-0.16510230619267557
1.1,-0.12876788210056442,0.152442395175088,4.6590158764922665,-0.3763564281805538,0.9363791862402366,7.294716782466169,-0.1711078141966293
1.1500000000000001,-0.14399856034454195,0.2046806134752052,4.969521187508168,-0.23287070157854806,1.1531495457644507,5.1254956581699025,-0.17792697525775694
1.2000000000000002,-0.14736894313024965,0.27419413724448277,5.168113071771556,0.09805539015024042,1.6273914050066516,2.8181797123655925,-0.18521116284462671
1.25,-0.12934699708799863,0.37380059082445044,5.248095924827256,0.6228224515398004,2.356866738192055,0.3811344098624023,-0.19212906135008292
1.3,-0.07894134871622066,0.5172943319193071,5.201332282319994,1.3934034833313174,3.382882905602212,-2.2516801101528703,-0.19733626999518844
1.35,0.01880900007166557,0.7223469977110131,5.016407903425373,2.516610468184132,4.819223726066026,-5.1452950456319995,-0.1988395787113023
1.4000000000000001,0.18505299823406218,1.015494773635824,4.682423328492578,4.133149458311733,6.906687310926404,-8.214087951679797,-0.19374302875365912
1.4500000000000002,0.44252299540232964,1.436580162865003,4.2023146974151,6.165650428418963,9.936728258240754,-10.990257291419281,-0.1780536289127493
1.5,0.775985807246664,2.0152165509327045,3.6099411122414384,7.17286204535441,13.208727264467322,-12.704686115527211,-0.14759090884652448
1.55,1.0721289089770334,2.6906704327104727,2.9655391088187337,4.6728620238603735,13.809428006643392,-13.071394021380964,-0.10138804094093204
1.6,1.2432720095638419,3.3398604877767357,2.269013865159281,2.1728619996119534,12.158174196007138,-14.789615724997159,-0.04350301797741016
1.6500000000000001,1.2894151089550678,3.8730965757555538,1.5053565529464752,-0.32713802396291064,9.171269323145577,-15.756676763515058,0.019814159985562584
1.7000000000000002,1.215783683092652,4.251854149853567,0.7436713294116964,-2.618119010533722,5.979033640774937,-14.710732177876089,0.0824441297867556
1.75,1.0482600350414324,4.474103687625168,0.06661273497390173,-4.08282691151506,2.9109478700891125,-12.3716115996357,0.13904522274010772
1.8,0.8112725937567551,4.53610090933516,-0.46247748728131777,-5.396670739872035,-0.4310590016894042,-8.791997290573079,0.1855335384600624
1.85,0.5037896684279445,4.430850471209754,-0.7948203977600203,-6.902646273280389,-3.7789585233268204,-4.501719128575019,0.2184100950146799
1.9000000000000001,0.1312235097030906,4.177015115830822,-0.9116123681077245,-8.000000075713766,-6.3744556918304704,-0.16995968533315353,0.23428542446795578
1.9500000000000002,-0.26121201134664623,3.830438971322975,-0.8321396224265147,-7.697420766275708,-7.488590088483411,3.3488695125815435,0.23103571192686687
2.0,-0.5835830492353516,3.4729703541850965,-0.6167430466975616,-5.197420749272511,-6.810154597031735,5.266993516576582,0.20991583541231693
2.0500000000000003,-0.7809540861180252,3.1628587182962833,-0.3398122097386023,-2.6974207260344283,-5.594310838520777,5.81023996178179,0.17580240702848252
2.1,-0.8533251218600424,2.9331899262854972,-0.07681968010674134,-0.1974207036462601,-3.5924408419106677,4.7094612234926485,0.13494542682903082
2.15,-0.8014983791565062,2.8165767292921338,0.10353442010999468,2.270490411787704,-1.072087037823877,2.5047027851767916,0.09357483930361711
2.2,-0.6497980386088482,2.8121130230970253,0.17824860615326257,3.797523210118616,0.893538790019542,0.48386465655392513,0.05729242885948325
2.25,-0.44828406324615405,2.883806241629261,0.16857684136881126,4.26303580438915,1.9741899512698682,-0.8707352479319782,0.02984037631310819
2.3000000000000003,-0.25055706564854735,2.985438545057181,0.11275698579840938,3.6460440995151155,2.09110218584695,-1.362058974884097,0.012369348090740655
2.35,-0.10150786381584774,3.0747810456192535,0.0511206948038509,2.3159239737928683,1.4825978366359547,-1.1033926648982426,0.003567724854130779
2.4000000000000004,-0.021202723705102358,3.127127977187613,0.011445888671058063,0.8962816306369471,0.611279426098407,-0.48359958041347045,0.0004999601661070261
2.45,0.0006021585304106596,3.142001308214933,-0.00032205041963934985,-0.02408634121642638,-0.0163461850055938,0.012882016785573993,-1.505396326026649e-05
2.5,0.0,3.141592653589793,-5.831469948010985e-29,0.0,0.0,0.0,0.0
